ibge;06/03/2020;07/03/2020;09/03/2020;10/03/2020;11/03/2020;12/03/2020;13/03/2020;15/03/2020;16/03/2020;17/03/2020;18/03/2020;19/03/2020;20/03/2020;21/03/2020;22/03/2020;23/03/2020;24/03/2020;25/03/2020;26/03/2020;27/03/2020;28/03/2020;29/03/2020;30/03/2020;31/03/2020;01/04/2020;02/04/2020;03/04/2020;04/04/2020;05/04/2020;06/04/2020;07/04/2020;08/04/2020;09/04/2020;10/04/2020;11/04/2020;12/04/2020;13/04/2020;14/04/2020;15/04/2020;16/04/2020;17/04/2020;18/04/2020;19/04/2020;20/04/2020;21/04/2020;22/04/2020;23/04/2020;24/04/2020;25/04/2020;26/04/2020;27/04/2020;28/04/2020;29/04/2020;30/04/2020;01/05/2020;02/05/2020;03/05/2020;04/05/2020;05/05/2020;06/05/2020;07/05/2020;08/05/2020;09/05/2020;10/05/2020;11/05/2020;12/05/2020;13/05/2020;14/05/2020;15/05/2020;16/05/2020;17/05/2020;18/05/2020;19/05/2020;20/05/2020;21/05/2020;22/05/2020;23/05/2020;24/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;30/05/2020;31/05/2020;01/06/2020;02/06/2020;03/06/2020;04/06/2020;05/06/2020;06/06/2020;07/06/2020;08/06/2020;09/06/2020;10/06/2020;11/06/2020;12/06/2020;13/06/2020;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;21/06/2020;22/06/2020;23/06/2020;24/06/2020;25/06/2020;26/06/2020;27/06/2020;28/06/2020;29/06/2020
2900108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,013119534;0,013119534;0,013119534;0,013119534;0,013119534;0,013119534;0,013119534;0,013119534;0,013119534;0,013119534;0,013119534;0,017492711;0,017492711;0,030612245;0,034985423;0,034985423;0,034985423;0,034985423;0,052478134;0,052478134;0,056851312;0,056851312;0,056851312;0,065597668;0,065597668;0,065597668;0,074344023;0,069970845;0,091836735;0,091836735;0,091836735;0,096209913;0,096209913;0,109329446;0,118075802;0,118075802;0,129737609;0,135568513;0,135568513;0,135568513;0,135568513;0,147230321;0,147230321;0,153061224;0,153061224;0,158892128;0,158892128;0,158892128;0,173469388;0,173469388;0,177842566;0,192419825;0,196793003;0,236151603;0,224489796;0,224489796;0,224489796;0,224489796;0,212827988;0,212827988;0,225947522;0,246355685;0,246355685;0,256559767;0,278425656;0,28425656;0,28425656;0,288629738;0,294460641;0,303206997;0,326530612;0,33090379;0,341107872;0,351311953;0,37755102;0,379008746;0,387755102;0,39212828;0,389212828;0,397959184;0,415451895;0,415451895;0,421282799;0,43148688;0,419825073;0,419825073;0,419825073;0,419825073;0,408163265;0,408163265;0,402332362;0,402332362;0,408163265;0,413994169;0,43148688;0,43148688;0,483965015;0,475218659;0,460641399
2900207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,024390244;0,024390244;0,024390244;0,024390244;0,024390244;0,024390244;0,024390244;0,024390244;0,024390244;0,024390244;0,024390244;0,024390244;0,024390244;0,024390244;0,040650407;0,040650407;0,056910569;0,056910569;0,069105691;0,069105691;0,069105691;0,069105691;0,069105691;0,069105691;0,117886179;0,117886179;0,117886179;0,117886179;0,117886179;0,134146341;0,134146341;0,134146341;0,134146341;0,134146341;0,134146341;0,134146341;0,158536585;0,158536585;0,158536585;0,158536585;0,158536585;0,158536585;0,158536585;0,158536585;0,158536585;0,158536585;0,158536585;0,170731707;0,170731707;0,170731707;0,211382114;0,211382114;0,227642276;0,264227642;0,268292683;0,268292683;0,280487805;0,280487805;0,280487805;0,280487805;0,280487805;0,280487805;0,308943089;0,308943089;0,308943089;0,308943089;0,321138211;0,349593496;0,422764228;0,447154472;0,447154472;0,447154472;0,447154472;0,471544715;0,520325203;0,520325203;0,532520325;0,532520325;0,520325203;0,536585366;0,536585366;0,536585366;0,56504065;0,577235772;0,577235772;0,577235772;0,577235772;0,577235772;0,577235772;0,577235772;0,577235772;0,577235772;0,577235772;0,577235772;0,577235772;0,577235772;0,601626016;0,601626016;0,601626016
2900306;0;0;0;0;0;0;0;0;0;0;0;0;0,009708738;0,009708738;0,009708738;0,009708738;0,029126214;0,029126214;0,042071197;0,042071197;0,042071197;0,051779935;0,074433657;0,084142395;0,074433657;0,074433657;0,074433657;0,074433657;0,084142395;0,084142395;0,084142395;0,093851133;0,093851133;0,093851133;0,093851133;0,093851133;0,093851133;0,093851133;0,093851133;0,093851133;0,093851133;0,093851133;0,103559871;0,103559871;0,103559871;0,142394822;0,155339806;0,16828479;0,16828479;0,16828479;0,16828479;0,181229773;0,181229773;0,181229773;0,181229773;0,181229773;0,181229773;0,181229773;0,190938511;0,200647249;0,200647249;0,210355987;0,210355987;0,229773463;0,239482201;0,268608414;0,268608414;0,281553398;0,300970874;0,281553398;0,281553398;0,300970874;0,300970874;0,300970874;0,313915858;0,313915858;0,433656958;0,45631068;0,446601942;0,485436893;0,485436893;0,485436893;0,485436893;0,504854369;0,514563107;0,514563107;0,537216828;0,537216828;0,537216828;0,537216828;0,537216828;0,537216828;0,537216828;0,537216828;0,546925566;0,546925566;0,546925566;0,546925566;0,556634304;0,556634304;0,566343042;0,566343042;0,566343042;0,566343042;0,566343042;0,566343042;0,566343042;0,566343042;0,566343042;0,566343042;0,566343042;0,57605178;0,57605178;0,57605178
2900355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,014285714;0,014285714;0,025;0,025;0,025;0,025;0,025;0,025;0,025;0,025;0,025;0,039285714;0,039285714;0,053571429;0,053571429;0,053571429;0,053571429;0,053571429;0,053571429;0,053571429;0,053571429;0,053571429;0,053571429;0,053571429;0,053571429;0,053571429;0,053571429;0,053571429;0,064285714;0,064285714;0,064285714;0,064285714;0,075;0,075;0,089285714;0,089285714;0,089285714;0,103571429;0,114285714;0,114285714;0,114285714;0,114285714;0,114285714;0,114285714;0,114285714;0,128571429;0,164285714;0,164285714;0,164285714;0,207142857;0,25;0,292857143;0,382142857;0,425;0,425;0,425;0,425;0,467857143;0,478571429;0,478571429;0,489285714;0,489285714;0,478571429;0,5;0,5;0,5;0,510714286;0,510714286;0,510714286;0,510714286;0,510714286;0,510714286;0,510714286;0,510714286;0,510714286;0,510714286;0,510714286;0,510714286;0,510714286;0,510714286;0,546428571;0,546428571;0,546428571
2900405;0,008595989;0,008595989;0,008595989;0,008595989;0,008595989;0,008595989;0,008595989;0,008595989;0,008595989;0,008595989;0,008595989;0,008595989;0,012893983;0,012893983;0,018624642;0,018624642;0,022922636;0,02722063;0,035816619;0,035816619;0,035816619;0,040114613;0,053008596;0,058739255;0,053008596;0,053008596;0,053008596;0,05730659;0,074498567;0,067335244;0,067335244;0,094555874;0,094555874;0,100286533;0,104584527;0,104584527;0,104584527;0,104584527;0,108882521;0,113180516;0,113180516;0,121776504;0,127507163;0,131805158;0,131805158;0,148997135;0,148997135;0,166189112;0,166189112;0,166189112;0,171919771;0,186246418;0,191977077;0,191977077;0,191977077;0,210601719;0,214899713;0,214899713;0,223495702;0,232091691;0,232091691;0,249283668;0,253581662;0,270773639;0,287965616;0,313753582;0,313753582;0,336676218;0,361031519;0,343839542;0,348137536;0,362464183;0,368194842;0,368194842;0,373925501;0,373925501;0,419770774;0,446991404;0,435530086;0,449856734;0,449856734;0,449856734;0,458452722;0,485673352;0,494269341;0,494269341;0,507163324;0,512893983;0,512893983;0,517191977;0,517191977;0,522922636;0,522922636;0,517191977;0,525787966;0,525787966;0,525787966;0,531518625;0,548710602;0,548710602;0,55730659;0,55730659;0,55730659;0,55730659;0,55730659;0,55730659;0,55730659;0,55730659;0,55730659;0,55730659;0,55730659;0,567335244;0,567335244;0,567335244
2900603;0;0;0;0;0;0;0;0;0;0;0;0,005059022;0,005059022;0,005059022;0,005059022;0,02529511;0,02529511;0,032040472;0,032040472;0,05227656;0,05227656;0,059021922;0,059021922;0,070826307;0,10623946;0,10623946;0,10623946;0,123102867;0,133220911;0,133220911;0,133220911;0,173693086;0,180438449;0,190556492;0,190556492;0,190556492;0,195615514;0,207419899;0,207419899;0,212478921;0,212478921;0,219224283;0,224283305;0,231028668;0,229342327;0,234401349;0,241146712;0,241146712;0,252951096;0,276559865;0,276559865;0,286677909;0,301854975;0,301854975;0,301854975;0,308600337;0,313659359;0,313659359;0,313659359;0,333895447;0,338954469;0,338954469;0,349072513;0,359190556;0,359190556;0,3693086;0,3693086;0,374367622;0,391231029;0,391231029;0,386172007;0,386172007;0,386172007;0,392917369;0,403035413;0,408094435;0,413153457;0,413153457;0,426644182;0,431703204;0,431703204;0,436762226;0,443507589;0,455311973;0,450252951;0,44856661;0,44856661;0,455311973;0,465430017;0,483979764;0,497470489;0,517706577;0,517706577;0,505902192;0,529510961;0,536256324;0,529510961;0,534569983;0,534569983;0,534569983;0,534569983;0,534569983;0,534569983;0,534569983;0,541315346;0,543001686;0,543001686;0,548060708;0,548060708;0,55311973;0,558178752;0,569983137;0,569983137;0,564924115
2900702;0,007042254;0,007042254;0,007042254;0,007042254;0,007042254;0,007042254;0,012323944;0,012323944;0,012323944;0,012323944;0,012323944;0,017605634;0,024647887;0,024647887;0,035211268;0,035211268;0,042253521;0,042253521;0,042253521;0,042253521;0,042253521;0,052816901;0,066901408;0,095070423;0,073943662;0,073943662;0,073943662;0,084507042;0,095070423;0,112676056;0,112676056;0,13028169;0,13028169;0,13556338;0,13556338;0,13556338;0,13556338;0,13556338;0,13556338;0,142605634;0,142605634;0,153169014;0,158450704;0,158450704;0,158450704;0,177816901;0,188380282;0,198943662;0,198943662;0,198943662;0,204225352;0,220070423;0,227112676;0,227112676;0,227112676;0,237676056;0,237676056;0,237676056;0,253521127;0,26056338;0,26056338;0,267605634;0,267605634;0,285211268;0,292253521;0,323943662;0,323943662;0,355633803;0,382042254;0,360915493;0,360915493;0,376760563;0,382042254;0,382042254;0,392605634;0,392605634;0,436619718;0,448943662;0,447183099;0,468309859;0,468309859;0,468309859;0,468309859;0,49471831;0,50528169;0,50528169;0,521126761;0,526408451;0,526408451;0,526408451;0,526408451;0,531690141;0,531690141;0,526408451;0,547535211;0,547535211;0,547535211;0,552816901;0,559859155;0,559859155;0,570422535;0,570422535;0,570422535;0,570422535;0,570422535;0,570422535;0,570422535;0,570422535;0,570422535;0,570422535;0,570422535;0,570422535;0,570422535;0,570422535
2900801;0;0;0;0;0;0;0;0;0,024193548;0,072580645;0,072580645;0,072580645;0,072580645;0,072580645;0,072580645;0,072580645;0,120967742;0,120967742;0,120967742;0,120967742;0,120967742;0,14516129;0,14516129;0,169354839;0,169354839;0,197580645;0,197580645;0,197580645;0,197580645;0,197580645;0,197580645;0,197580645;0,209677419;0,209677419;0,209677419;0,209677419;0,209677419;0,209677419;0,225806452;0,225806452;0,225806452;0,225806452;0,225806452;0,241935484;0,241935484;0,241935484;0,241935484;0,241935484;0,241935484;0,241935484;0,241935484;0,241935484;0,241935484;0,258064516;0,258064516;0,258064516;0,258064516;0,258064516;0,258064516;0,258064516;0,282258065;0,282258065;0,282258065;0,282258065;0,282258065;0,282258065;0,282258065;0,346774194;0,346774194;0,346774194;0,346774194;0,346774194;0,346774194;0,346774194;0,346774194;0,346774194;0,419354839;0,419354839;0,419354839;0,419354839;0,419354839;0,419354839;0,419354839;0,419354839;0,419354839;0,419354839;0,419354839;0,419354839;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,467741935;0,491935484;0,504032258
2900900;0;0;0;0;0;0;0;0;0;0;0;0,007936508;0,007936508;0,007936508;0,007936508;0,015873016;0,015873016;0,027777778;0,027777778;0,035714286;0,03968254;0,051587302;0,051587302;0,087301587;0,109126984;0,109126984;0,109126984;0,125;0,136904762;0,142857143;0,142857143;0,174603175;0,188492063;0,202380952;0,202380952;0,202380952;0,220238095;0,251984127;0,251984127;0,267857143;0,267857143;0,273809524;0,285714286;0,285714286;0,285714286;0,30952381;0,31547619;0,31547619;0,323412698;0,331349206;0,331349206;0,343253968;0,361111111;0,361111111;0,369047619;0,382936508;0,382936508;0,382936508;0,382936508;0,388888889;0,388888889;0,388888889;0,406746032;0,412698413;0,412698413;0,418650794;0,418650794;0,424603175;0,424603175;0,424603175;0,424603175;0,424603175;0,424603175;0,424603175;0,430555556;0,430555556;0,436507937;0,436507937;0,442460317;0,448412698;0,448412698;0,448412698;0,46031746;0,462301587;0,474206349;0,466269841;0,466269841;0,478174603;0,501984127;0,517857143;0,513888889;0,537698413;0,537698413;0,537698413;0,537698413;0,537698413;0,537698413;0,545634921;0,551587302;0,551587302;0,551587302;0,551587302;0,551587302;0,551587302;0,557539683;0,557539683;0,557539683;0,569444444;0,569444444;0,569444444;0,569444444;0,569444444;0,569444444;0,569444444
2901007;0,004470939;0,004470939;0,004470939;0,004470939;0,004470939;0,004470939;0,008941878;0,008941878;0,008941878;0,008941878;0,008941878;0,008941878;0,008941878;0,008941878;0,008941878;0,013412817;0,013412817;0,013412817;0,013412817;0,013412817;0,013412817;0,013412817;0,013412817;0,013412817;0,013412817;0,013412817;0,013412817;0,023845007;0,028315946;0,028315946;0,028315946;0,037257824;0,041728763;0,047690015;0,053651267;0,053651267;0,053651267;0,071535022;0,077496274;0,077496274;0,086438152;0,09538003;0,09538003;0,113263785;0,116244411;0,12071535;0,12071535;0,131147541;0,154992548;0,163934426;0,163934426;0,169895678;0,174366617;0,174366617;0,174366617;0,205663189;0,211624441;0,211624441;0,211624441;0,211624441;0,217585693;0,217585693;0,223546945;0,229508197;0,229508197;0,239940387;0,244411326;0,253353204;0,286140089;0,286140089;0,286140089;0,289120715;0,293591654;0,302533532;0,307004471;0,329359165;0,329359165;0,344262295;0,354694486;0,368107303;0,374068554;0,387481371;0,397913562;0,423248882;0,41728763;0,421758569;0,421758569;0,421758569;0,421758569;0,430700447;0,45752608;0,45752608;0,475409836;0,45752608;0,485842027;0,509687034;0,503725782;0,503725782;0,503725782;0,508196721;0,508196721;0,51266766;0,51266766;0,51266766;0,51266766;0,518628912;0,518628912;0,518628912;0,523099851;0,523099851;0,549925484;0,560357675;0,560357675;0,560357675
