"";"ibge";"cen.saude";"cen.saude.ba";"cen.saude.ba.adj";"mod.saude";"mod.saude.ba";"mod.saude.ba.adj";"degree.saude";"degree.saude.ba";"polo.saude"
"2900108";"2900108";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2900207";"2900207";6,69473665686118e-19;0;0;2;3;5;0;0;"NO"
"2900306";"2900306";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2900355";"2900355";6,69473665686118e-19;0;0;25;21;11;0;0;"NO"
"2900405";"2900405";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2900504";"2900504";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2900603";"2900603";6,69473665686118e-19;0;0;2;8;8;0;0;"NO"
"2900702";"2900702";0;0;7,34004870772687e-17;2;11;14;13;13;"YES"
"2900801";"2900801";6,69473665686118e-19;0;0;11;18;9;0;0;"NO"
"2900900";"2900900";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2901007";"2901007";0;0;7,08288950494046e-18;2;6;6;1;1;"YES"
"2901106";"2901106";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2901155";"2901155";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2901205";"2901205";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2901304";"2901304";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2901353";"2901353";6,69473665686118e-19;0;0;2;9;5;0;0;"NO"
"2901403";"2901403";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2901502";"2901502";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2901601";"2901601";0;0;6,93127060738194e-18;2;1;2;1;1;"YES"
"2901700";"2901700";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2901809";"2901809";6,69473665686118e-19;0;0;2;13;5;0;0;"NO"
"2901908";"2901908";6,69473665686118e-19;0;0;2;11;14;0;0;"NO"
"2901957";"2901957";6,69473665686118e-19;0;0;2;8;8;0;0;"NO"
"2902005";"2902005";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2902054";"2902054";6,69473665686118e-19;0;0;2;11;14;0;0;"NO"
"2902104";"2902104";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2902203";"2902203";6,69473665686118e-19;0;0;2;11;14;0;0;"NO"
"2902252";"2902252";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2902302";"2902302";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2902500";"2902500";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2902609";"2902609";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2902658";"2902658";6,69473665686118e-19;0;0;2;1;2;0;0;"NO"
"2902708";"2902708";0;0;1,22023566381455e-17;2;2;3;2;2;"YES"
"2902807";"2902807";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2902906";"2902906";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2903003";"2903003";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2903102";"2903102";6,69473665686118e-19;0;0;2;8;8;0;0;"NO"
"2903201";"2903201";0;0;3,06456520316606e-16;2;4;4;25;24;"YES"
"2903235";"2903235";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2903276";"2903276";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2903300";"2903300";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2903409";"2903409";6,69473665686118e-19;0;0;2;10;12;0;0;"NO"
"2903508";"2903508";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2903607";"2903607";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2903706";"2903706";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2903805";"2903805";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2903904";"2903904";0;0;1,06226401915162e-17;2;15;4;2;2;"YES"
"2903953";"2903953";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2904001";"2904001";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2904050";"2904050";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
