"","ibge","Municipios","rod_fechada","X28.03.2020","X01.04.2020","X02.04.2020","X03.04.2020","X04.04.2020","X05.04.2020","X08.04.2020","X10.04.2020","X11.04.2020","X15.04.2020","X16.04.2020","X17.04.2020","X18.04.2020","X19.04.2020","X22.04.2020","X24.04.2020","X25.04.2020","X26.04.2020","X29.04.2020","X30.04.2020","X01.05.2020","X02.05.2020","X06.05.2020","X07.05.2020","X08.05.2020","X09.05.2020","X10.05.2020","X13.05.2020","X14.05.2020","X15.05.2020","X16.05.2020","X17.05.2020","X20.05.2020","X21.05.2020","X22.05.2020","X23.05.2020","X24.05.2020","X29.05.2020","X30.05.2020","X31.05.2020","X03.06.2020","X05.06.2020","X06.06.2020","X07.06.2020","X10.06.2020","X11.06.2020","X12.06.2020","X14.06.2020","X17.06.2020","X18.06.2020","X20.06.2020","X21.06.2020","X24.06.2020","X25.06.2020","X26.06.2020","X27.06.2020"
"1","2900108","Abaíra",39,0,0,0,0,0,0,0,0,0,0,1,2,3,4,7,9,10,11,14,14,14,14,14,15,16,17,18,21,22,23,24,25,28,29,30,31,32,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39
"2","2900207","Abaré",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
"3","2900306","Acajutiba",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,7,8,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,17,19,20,21,24,25,26,28,31,32,34,35,38,39,40,41
"4","2900355","Adustina",40,0,0,0,0,0,0,0,2,3,7,8,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,13,16,18,19,20,23,24,25,27,30,31,33,34,37,38,39,40
"5","2900405","Água Fria",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,7,11,12,13,13,13,13,13,13,13,13,13,14,15,16,17,22,23,23,23,23,24,25,28,29,30,32,35,36,38,39,42,43,44,45
"6","2900504","Érico Cardoso",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
"7","2900603","Aiquara",62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,7,8,11,12,13,13,13,13,13,13,14,17,18,19,20,21,24,25,26,27,28,33,34,35,38,40,41,42,45,46,47,49,52,53,55,56,59,60,61,62
"8","2900702","Alagoinhas",86,0,0,0,1,2,3,6,8,9,13,14,15,16,17,20,22,23,24,27,28,29,30,34,35,36,37,38,41,42,43,44,45,48,49,50,51,52,57,58,59,62,64,65,66,69,70,71,73,76,77,79,80,83,84,85,86
"9","2900801","Alcobaça",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,7,8,9,11,14,15,17,18,21,22,23,24
"10","2900900","Almadina",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,7,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,15,18,19,20,22,25,26,28,29,32,33,34,35
