;ibge;road.dist;area.muni;dens.road
1;3509106;29247638,33;550855741,8;0,053094914
2;3511003;64476,97467;1064560066;6,06E-05
3;3514403;NA;NA;NA
4;3515301;NA;NA;NA
5;3515350;NA;NA;NA
6;3528700;NA;NA;NA
7;3530201;NA;NA;NA
8;3531605;NA;NA;NA
9;3532207;NA;NA;NA
10;3533106;NA;NA;NA
11;3534807;NA;NA;NA
12;3535408;131,0847153;355842142,7;3,68E-07
13;3536406;14232,34377;373854211,4;3,81E-05
14;3538303;NA;NA;NA
15;3541208;NA;NA;NA
16;3541307;33466,63594;1259740838;2,66E-05
17;3541505;NA;NA;NA
18;3543238;NA;NA;NA
19;3544251;NA;NA;NA
20;3545506;NA;NA;NA
21;3547106;1704,671034;166643595,6;1,02E-05
22;3547700;NA;NA;NA
23;3549300;NA;NA;NA
24;3553906;NA;NA;NA
25;3554300;NA;NA;NA
26;3555109;NA;NA;NA
27;4200101;NA;NA;NA
28;4200507;NA;NA;NA
29;4200556;443,4225012;76143205,4;5,82E-06
30;4200754;10401,18198;103917841,8;0,00010009
31;4200804;NA;NA;NA
32;4201273;NA;NA;NA
33;4201653;NA;NA;NA
34;4202081;NA;NA;NA
35;4202099;NA;NA;NA
36;4202156;NA;NA;NA
37;4202537;NA;NA;NA
38;4202578;NA;NA;NA
39;4203105;31549,93724;174917100,6;0,000180371
40;4203501;NA;NA;NA
41;4203907;NA;NA;NA
42;4204004;34004,70926;197162424,4;0,000172471
43;4204103;NA;NA;NA
44;4204202;63903,18311;625972444,5;0,000102086
45;4204301;42229,36464;799008157,4;5,29E-05
46;4204350;28309,42302;82846112,03;0,000341711
47;4204400;14533,06043;233950737,1;6,21E-05
48;4204459;NA;NA;NA
49;4204707;30336,69746;217995494,8;0,000139162
50;4204756;NA;NA;NA
51;4204905;13248,00623;287593697,4;4,61E-05
52;4205001;98573,37884;379533076,1;0,000259723
53;4205175;NA;NA;NA
54;4205308;27274,93108;339555508;8,03E-05
55;4205357;9735,205855;58766159,67;0,00016566
56;4205431;NA;NA;NA
57;4205605;NA;NA;NA
58;4206405;35456,73199;330840696,1;0,000107172
59;4206603;9034,729718;100290582,7;9,01E-05
60;4206652;NA;NA;NA
61;4207601;NA;NA;NA
62;4207650;NA;NA;NA
63;4207684;NA;NA;NA
64;4207700;NA;NA;NA
65;4207759;17841,7641;163189421,2;0,000109332
66;4207809;43163,97362;325543551,5;0,00013259
67;4207858;NA;NA;NA
68;4208005;NA;NA;NA
69;4208401;2243,599785;283310063,5;7,92E-06
70;4208609;NA;NA;NA
71;4208955;NA;NA;NA
72;4209003;34910,23978;241936764,4;0,000144295
73;4209177;NA;NA;NA
74;4209201;NA;NA;NA
75;4209458;NA;NA;NA
76;4209854;NA;NA;NA
77;4210035;NA;NA;NA
78;4210506;23763,91344;171349517,4;0,000138687
79;4210555;NA;NA;NA
80;4210902;NA;NA;NA
81;4211009;NA;NA;NA
82;4211405;13856,8726;64896917,26;0,000213521
83;4211454;18523,70984;137550405,4;0,000134669
84;4211652;NA;NA;NA
85;4211801;NA;NA;NA
86;4211850;NA;NA;NA
87;4211876;NA;NA;NA
88;4212007;35550,11821;330274869,9;0,000107638
89;4212106;51958,10629;352628677;0,000147345
90;4212239;18911,59674;182016839,2;0,0001039
91;4212270;9195,934294;618801050,5;1,49E-05
92;4212601;NA;NA;NA
93;4212908;16000,21498;128178775,4;0,000124827
94;4213104;NA;NA;NA
95;4213153;NA;NA;NA
96;4213401;68574,82866;564156859,4;0,000121553
97;4213906;NA;NA;NA
98;4214151;NA;NA;NA
99;4214201;NA;NA;NA
100;4215075;NA;NA;NA
101;4215208;4526,536204;222687772,3;2,03E-05
102;4215356;NA;NA;NA
103;4215554;NA;NA;NA
104;4215687;NA;NA;NA
105;4215695;NA;NA;NA
106;4215752;NA;NA;NA
107;4216008;NA;NA;NA
108;4216107;NA;NA;NA
109;4216255;NA;NA;NA
110;4216701;18014,4451;281471186,2;6,40E-05
111;4216909;NA;NA;NA
112;4217154;NA;NA;NA
113;4217204;44122,81281;234210916,9;0,000188389
114;4217303;25557,0541;206639940,2;0,000123679
115;4217501;NA;NA;NA
116;4217550;NA;NA;NA
117;4217758;NA;NA;NA
