"";"icao";"uf";"ibge";"long";"lat";"nat.centrality";"nat.module";"int.centrality";"int.module";"nat.degree";"int.degree";"dif.degree";"nat.strength";"int.strength";"dif.strength";"nat.fligths";"int.fligths";"n.nat.fligths";"n.int.fligths"
"1";"SBAC";"CE";2301109;-37,78333333;-4,55;0,000223288807242445;9;0,0002213011914579;11;5;5;0;28;28;0;"YES";"NO";28;0
"2";"SBAE";"SP";3503406;-49,068;-22,158;0,024469314888969;2;0,02397230984556;1;11;11;0;474;474;0;"YES";"NO";474;0
"3";"SBAQ";"SP";3503208;-48,13299942;-21,81200027;0,000345131888428863;2;0,000339295890252197;1;2;2;0;16;16;0;"YES";"NO";16;0
"4";"SBAR";"SE";2800308;-37,07030106;-10,98400021;0,0354640428364798;2;0,0355814450042546;3;16;16;0;927;927;0;"YES";"NO";927;0
"5";"SBAT";"MT";5100250;-56,10499954;-9,866389275;0,000489383606646408;6;0,000482426384243096;8;2;2;0;60;60;0;"YES";"NO";60;0
"6";"SBAU";"SP";3502804;-50,42470169;-21,1413002;0,00865482168600068;2;0,00854999106595536;3;6;6;0;248;248;0;"YES";"NO";248;0
"7";"SBAX";"MG";3104007;-46,96039963;-19,5632;0,000384906661829782;11;0,000373212360464873;1;2;2;0;10;10;0;"YES";"NO";10;0
"8";"SBBE";"PA";1501402;-48,47629929;-1,37925005;0,049045411355815;1;0,0492629105821802;5;33;45;12;2456;2590;134;"YES";"YES";2456;134
"9";"SBBG";"RS";4301602;-54,11220169;-31,39049911;0,00183965046011388;2;0,00180973354635887;1;2;2;0;53;53;0;"YES";"NO";53;0
"10";"SBBH";"MG";3106200;-43,95059967;-19,8512001;0,000986024742925943;2;0,000967565777984398;1;11;11;0;33;33;0;"YES";"NO";33;0
"11";"SBBR";"DF";5300108;-47,92083359;-15,86916733;0,307381962700455;2;0,302403327711215;3;79;100;21;10289;10688;399;"YES";"YES";10289;399
"12";"SBBT";"SP";3505500;-48,59410095;-20,58449936;1,71358735696485e-20;12;7,02782899322527e-06;23;0;1;1;0;1;1;"YES";"YES";0;1
"13";"SBBV";"RR";1400100;-60,6922226;2,841388941;0,00603508606100122;1;0,00588127580597877;2;8;9;1;223;224;1;"YES";"YES";223;1
"14";"SBBW";"MT";5101803;-52,38890076;-15,86130047;0,000369695803886802;6;0,000360656797420203;8;4;4;0;34;34;0;"YES";"NO";34;0
"15";"SBCA";"PR";4104808;-53,50080109;-25,00029945;0,0123629873944366;2;0,0124066097277894;1;13;13;0;368;368;0;"YES";"NO";368;0
"16";"SBCB";"RJ";3300704;-42,07429886;-22,92169952;0,00339329529839325;2;0,00337973144543299;1;11;14;3;89;94;5;"YES";"YES";89;5
"17";"SBCF";"MG";3117876;-43,9719429;-19,62444305;0,273273775199261;2;0,268682330070945;1;92;104;12;8347;8594;247;"YES";"YES";8347;247
"18";"SBCG";"MS";5002704;-54,67250061;-20,46870041;0,0424279611892367;2;0,0420656012089695;1;18;18;0;998;998;0;"YES";"NO";998;0
"19";"SBCH";"SC";4204202;-52,65660095;-27,13419914;0,0117741763931972;2;0,0119710508110812;1;8;8;0;371;371;0;"YES";"NO";371;0
"20";"SBCJ";"PA";1505536;-50,00138855;-6,115277767;0,00368323231848196;1;0,0035791401662027;5;5;5;0;140;140;0;"YES";"NO";140;0
"21";"SBCN";"GO";5204508;-48,60749817;-17,72529984;0,00533744957095419;2;0,00515558550364647;1;8;8;0;106;106;0;"YES";"NO";106;0
"22";"SBCP";"RJ";3301009;-41,30170059;-21,69829941;0,000250682280704333;2;0,000258190871255942;1;3;3;0;28;28;0;"YES";"NO";28;0
"23";"SBCR";"MS";5003207;-57,67139053;-19,01194382;0,000905971207125766;10;0,000890651711912019;12;3;3;0;42;42;0;"YES";"NO";42;0
"24";"SBCT";"PR";4125506;-49,17580032;-25,5284996;0,19946668980613;2;0,197943876486203;1;62;71;9;5352;5535;183;"YES";"YES";5352;183
"25";"SBCX";"RS";4305108;-51,1875;-29,19709969;0,00857912929920557;2;0,00823629129689159;1;5;5;0;168;168;0;"YES";"NO";168;0
"26";"SBCY";"MT";5108402;-56,11669922;-15,65289974;0,057908283995024;6;0,0578845802626875;8;50;50;0;2069;2069;0;"YES";"NO";2069;0
"27";"SBCZ";"AC";1200203;-72,76950073;-7,599909782;8,8149118554025e-05;3;8,6013189084449e-05;6;5;5;0;64;64;0;"YES";"NO";64;0
"28";"SBDB";"MS";5002209;-56,452499;-21,247299;4,84903661399139e-06;10;4,70119663296952e-06;12;3;3;0;38;38;0;"YES";"NO";38;0
"29";"SBDN";"SP";3541406;-51,42459869;-22,17510033;0,0123638622262382;2;0,0120915441392663;1;9;9;0;310;310;0;"YES";"NO";310;0
"30";"SBDO";"MS";5003702;-54,42555556;-22,20055556;0,00929044439496625;2;0,00893791993476066;1;5;5;0;211;211;0;"YES";"NO";211;0
"31";"SBEG";"AM";1302603;-60,04970169;-3,038609982;0,0545755315544273;1;0,0554328607490082;2;51;68;17;2361;2597;236;"YES";"YES";2361;236
"32";"SBFI";"PR";4108304;-54,48500061;-25,60027885;0,0585290743774656;2;0,0595311234245442;3;24;31;7;1482;1561;79;"YES";"YES";1482;79
"33";"SBFL";"SC";4205407;-48,55250168;-27,67027855;0,112468931949668;2;0,114577603505149;1;28;46;18;2510;2831;321;"YES";"YES";2510;321
"34";"SBFN";"PE";2605459;-32,423302;-3,85493;0,00690112850857036;4;0,00684204196898513;3;4;4;0;324;324;0;"YES";"NO";324;0
"35";"SBFZ";"CE";2304400;-38,5326004;-3,776279926;0,119783928596339;4;0,120933142071217;3;33;49;16;4148;4364;216;"YES";"YES";4148;216
"36";"SBGL";"RJ";3304557;-43,25055695;-22,80999947;0,16811223083318;2;0,176376578442172;3;70;130;60;6001;8120;2119;"YES";"YES";6001;2119
"37";"SBGO";"GO";5208707;-49,22069931;-16,63199997;0,0943451139225275;2;0,0927933470402877;1;39;39;0;2291;2291;0;"YES";"NO";2291;0
"38";"SBGP";"SP";3516853;-48,40510178;-21,77370071;1,71358735696485e-20;13;0;24;1;1;0;1;1;0;"YES";"NO";1;0
"39";"SBGR";"SP";3518800;-46,47305679;-23,43555641;0,377063107124002;2;0,393504678071478;3;114;220;106;19410;25510;6100;"YES";"YES";19410;6100
"40";"SBGV";"MG";3127701;-41,98220062;-18,89520073;0,00200151464151487;2;0,00194070427441734;1;2;2;0;52;52;0;"YES";"NO";52;0
"41";"SBHT";"PA";1500602;-52,25400162;-3,253910065;0,000866099744164456;8;0,00085794296923957;5;8;8;0;155;155;0;"YES";"NO";155;0
"42";"SBIH";"PA";1503606;-56,0007019;-4,242340088;0,000171553247502558;8;0,000171780902769485;5;4;4;0;42;42;0;"YES";"NO";42;0
