;ibgecode;eingen.cen.dist;module;roles;inter.state;inter.eingen.cen.dist;inter.module;inter.roles
2915601;2915601;0,030303635;2;connector;YES;0,00000131;7;peripheral
2931350;2931350;0,024239595;2;peripheral;YES;0,0000929;7;connector
2906907;2906907;0,003887929;2;connector;YES;4,64E-11;7;peripheral
2923001;2923001;0,005385123;2;peripheral;YES;0,00000012;7;peripheral
2932903;2932903;0,047784731;5;peripheral;YES;0,000118256;2;peripheral
2931202;2931202;0,027155216;5;peripheral;NO;;;
2922607;2922607;0,026336584;5;peripheral;NO;;;
2917300;2917300;0,024665721;5;peripheral;NO;;;
2913457;2913457;0,007382696;5;peripheral;NO;;;
2905800;2905800;0,02208307;5;peripheral;NO;;;
2912707;2912707;0,031433863;5;peripheral;NO;;;
2932200;2932200;0,100731048;5;peripheral;YES;0,00000161;2;peripheral
2932309;2932309;0,042858376;5;peripheral;YES;0,00000224;2;peripheral
2916104;2916104;0,017720838;5;peripheral;NO;;;
2933208;2933208;0,007076075;5;peripheral;NO;;;
2927309;2927309;0,004617261;5;peripheral;NO;;;
2922508;2922508;0,01870918;5;peripheral;NO;;;
2917805;2917805;0,010035448;5;peripheral;NO;;;
2914802;2914802;0,133653416;5;connector;YES;0,00000376;7;connector
2911204;2911204;0,113159458;5;connector;YES;0,000222511;2;peripheral
2931608;2931608;0,02235007;5;peripheral;NO;;;
2928703;2928703;0,153077747;5;connector;YES;0,000000352;18;peripheral
2909802;2909802;0,164202435;5;connector;YES;0,000000908;18;peripheral
2908200;2908200;0,097456302;5;peripheral;NO;;;
2929305;2929305;0,093926101;5;peripheral;NO;;;
2910800;2910800;0,461978761;1;network hub;YES;0,000466758;18;connector
2918001;2918001;0,117376913;5;connector;YES;0,000435482;15;connector
2918308;2918308;0,03520377;5;connector;NO;;;
2913903;2913903;0,051964059;5;peripheral;YES;0,0000983;2;peripheral
2903102;2903102;0,018025398;5;peripheral;NO;;;
2918407;2918407;0,028475758;1;peripheral;YES;0,00000106;2;connector
2928208;2928208;0,006048021;4;peripheral;YES;0,00000168;2;connector
2907202;2907202;0,002332781;1;peripheral;YES;1,12E-10;50;NA
2918803;2918803;0,059345951;5;peripheral;NO;;;
2902708;2902708;0,015030064;3;connector;NO;;;
2906899;2906899;0,000714978;4;connector;NO;;;
2926004;2926004;0,002332781;1;peripheral;YES;5,8E-09;50;NA
2905909;2905909;0,000221913;1;connector;NO;;;
2927408;2927408;0,524568966;1;network hub;YES;0,000699601;18;network hub
2928604;2928604;0,065715993;6;peripheral;NO;;;
2904902;2904902;0,069485843;5;peripheral;NO;;;
2922300;2922300;0,043981516;5;peripheral;NO;;;
2911600;2911600;0,082972237;5;peripheral;NO;;;
2929602;2929602;0,090232806;5;peripheral;NO;;;
2908309;2908309;0,088749152;5;peripheral;NO;;;
2905404;2905404;0,006826503;5;peripheral;NO;;;
2917102;2917102;0,023555121;4;peripheral;YES;0,00000098;2;peripheral
2915809;2915809;0,021845505;4;peripheral;YES;1,49E-12;47;peripheral
2933307;2933307;0,098478034;4;hub;YES;0,000110353;2;connector
2926806;2926806;0,030426772;4;peripheral;NO;;;
2905206;2905206;0,033032962;4;peripheral;YES;0,0000227;15;connector
2913408;2913408;0,00886241;4;peripheral;NO;;;
2926400;2926400;0,011177184;4;peripheral;YES;0,000000166;2;connector
2903904;2903904;0,026912151;4;peripheral;YES;0,000000553;2;peripheral
2901205;2901205;0,049674593;4;hub;YES;0,00000379;2;peripheral
2902005;2902005;0,046730056;4;peripheral;YES;0,00000237;2;peripheral
2904605;2904605;0,068166246;4;hub;YES;0,000262361;2;connector
2930758;2930758;0,004282767;4;peripheral;NO;;;
2913200;2913200;0,073279152;4;peripheral;YES;0,000632397;15;connector
2905602;2905602;0,047568458;2;connector;YES;1,57E-08;7;peripheral
2910727;2910727;0,059403077;2;connector;YES;0,0000107;7;connector
2914653;2914653;0,028049548;2;peripheral;YES;5,07E-09;7;connector
2921104;2921104;0,007431413;2;peripheral;YES;0,000000705;7;peripheral
2916005;2916005;0,006438138;2;peripheral;NO;;;
2915106;2915106;0,003793627;5;peripheral;NO;;;
2929008;2929008;0,026406249;5;peripheral;NO;;;
2933174;2933174;0,008930723;5;peripheral;NO;;;
2901007;2901007;0,017472309;5;peripheral;NO;;;
2929404;2929404;0,008338319;5;peripheral;NO;;;
2918753;2918753;0,006770773;4;peripheral;NO;;;
2912004;2912004;0,007316766;4;peripheral;NO;;;
2905008;2905008;0,007317519;4;peripheral;YES;0,000000152;2;peripheral
2919405;2919405;0,003407183;4;peripheral;YES;1,01E-10;2;peripheral
2910107;2910107;0,001674056;4;peripheral;YES;4,97E-11;31;peripheral
2919504;2919504;0,024704959;4;peripheral;YES;0,0000584;2;peripheral
2923605;2923605;0,019970282;4;peripheral;YES;0,000162644;2;peripheral
2926707;2926707;0,008198979;4;peripheral;NO;;;
2903508;2903508;0,006484567;4;peripheral;YES;0,00000177;2;peripheral
2931806;2931806;0,006531614;4;peripheral;YES;0,000000605;2;peripheral
2924702;2924702;0,004722832;4;peripheral;YES;2,75E-11;2;peripheral
2909000;2909000;0,000926297;4;peripheral;YES;0,000000109;2;peripheral
2908705;2908705;0,005002113;4;peripheral;YES;0,000000872;2;peripheral
2911709;2911709;0,026761627;4;peripheral;YES;0,000374025;2;connector
2917508;2917508;0,03120708;1;peripheral;YES;0,00000173;2;connector
2921203;2921203;0,00948081;1;peripheral;YES;0,000000908;2;peripheral
2924801;2924801;0,047361958;3;peripheral;YES;0,000000695;2;peripheral
2922102;2922102;0,064012742;3;connector;NO;;;
2927200;2927200;0,021330283;1;peripheral;YES;0,00000131;2;peripheral
2914703;2914703;0,132382656;1;connector;YES;0,000197076;15;connector
2902302;2902302;0,002511904;5;peripheral;NO;;;
2929206;2929206;0,00452961;6;peripheral;NO;;;
2919926;2919926;0,005532953;6;peripheral;NO;;;
2920403;2920403;0,034512231;4;connector;NO;;;
2917607;2917607;0,072637617;5;peripheral;NO;;;
2927903;2927903;0,066483131;5;peripheral;NO;;;
2932101;2932101;0,019724184;5;peripheral;NO;;;
2901957;2901957;0,001216898;5;peripheral;NO;;;
2916708;2916708;0,015805673;5;peripheral;NO;;;
2914000;2914000;0,094607604;3;peripheral;YES;0,0000009;2;peripheral
2919009;2919009;0,019559645;1;connector;NO;;;
2931103;2931103;0,116316334;1;hub;NO;;;
2914406;2914406;0,014969835;3;peripheral;YES;1,85E-08;2;peripheral
2930808;2930808;0,014969835;3;peripheral;NO;;;
2903235;2903235;0,01150065;3;connector;NO;;;
2906204;2906204;0,014741291;3;peripheral;NO;;;
2903003;2903003;0,010390165;3;peripheral;NO;;;
2912400;2912400;0,00855436;3;peripheral;NO;;;
2913101;2913101;0,008663991;3;peripheral;NO;;;
2919157;2919157;0,01280221;3;peripheral;NO;;;
2914604;2914604;0,046124115;3;connector;YES;0,000307336;15;connector
2928802;2928802;0,127591648;1;connector;YES;0,00000195;2;peripheral
2925956;2925956;0,149140803;1;peripheral;NO;;;
2911907;2911907;0,018081529;1;connector;YES;0,000000563;2;peripheral
2920809;2920809;0,012025677;1;connector;NO;;;
2915007;2915007;0,005355029;1;peripheral;NO;;;
2914109;2914109;0,007772096;4;peripheral;NO;;;
2931004;2931004;0,018101741;4;peripheral;YES;0,000000578;2;peripheral
2917201;2917201;0,004325932;4;peripheral;YES;0;2;peripheral
2902807;2902807;0,004888316;4;peripheral;YES;0,00000511;2;peripheral
2912202;2912202;0,003685408;4;peripheral;NO;;;
2921906;2921906;0,008942319;1;peripheral;NO;;;
2904001;2904001;0,014309704;4;peripheral;NO;;;
2929909;2929909;0,080611063;1;peripheral;YES;0,000141609;2;connector
2927507;2927507;0,110116298;1;peripheral;NO;;;
2930501;2930501;0,126480663;1;peripheral;YES;5,58E-08;18;peripheral
2931509;2931509;0,02996132;1;peripheral;NO;;;
2902104;2902104;0,039073157;1;peripheral;YES;5,32E-08;2;peripheral
2931905;2931905;0,03078839;1;peripheral;YES;2,81E-08;2;peripheral
2910701;2910701;0,013331626;1;peripheral;YES;0,000000114;2;peripheral
2906501;2906501;0,065656547;6;peripheral;NO;;;
2929503;2929503;0,054962849;6;connector;YES;1,61E-11;141;NA
2901106;2901106;0,0438369;6;connector;NO;;;
2908507;2908507;0,035076397;6;peripheral;NO;;;
2922201;2922201;0,006349586;5;peripheral;NO;;;
2925006;2925006;0,034283087;4;connector;NO;;;
2925105;2925105;0,058010381;4;peripheral;YES;2,87E-08;2;peripheral
2903953;2903953;0,000851847;4;peripheral;NO;;;
2912103;2912103;0,023174468;4;peripheral;YES;0,00000174;2;peripheral
2911006;2911006;0,024499236;4;peripheral;NO;;;
2927804;2927804;0,020868336;4;peripheral;NO;;;
2910909;2910909;0,014653633;4;peripheral;NO;;;
2912301;2912301;0,005755426;4;peripheral;NO;;;
2913507;2913507;0,005360072;4;peripheral;NO;;;
2922706;2922706;0,005360072;4;peripheral;NO;;;
2916856;2916856;0,048693243;1;connector;NO;;;
2921302;2921302;0,098321293;1;connector;YES;0,00000154;2;connector
2904308;2904308;0,051343723;1;connector;NO;;;
2914208;2914208;0,04549307;1;connector;NO;;;
