"";"ibge";"id.sus";"mortes";"mortes.diabetes";"mortes.hipertensao";"estabelecimentos.saude";"leitos";"profissionais.saude";"aux.enf.intensivista";"sup.enf.intensivista";"sup.med.intensivista";"sup.med.infectologista";"p_diabetes";"p_hipertensao"
"1";1100015;"110001";128;3;7;1;49;316;NA;NA;NA;NA;0,0234375;0,0546875
"2";1100379;"110037";48;2;1;1;16;104;NA;NA;NA;NA;0,0416666666666667;0,0208333333333333
"3";1100403;"110040";75;1;1;2;16;169;NA;NA;NA;NA;0,0133333333333333;0,0133333333333333
"4";1100346;"110034";76;3;8;1;35;117;NA;NA;NA;NA;0,0394736842105263;0,105263157894737
"5";1100023;"110002";531;33;19;9;240;1011;4;0;1;NA;0,0621468926553672;0,0357815442561205
"6";1100452;"110045";130;6;3;3;66;309;NA;NA;NA;NA;0,0461538461538462;0,0230769230769231
"7";1100031;"110003";34;1;1;1;9;94;NA;NA;NA;NA;0,0294117647058824;0,0294117647058824
"8";1100601;"110060";20;0;NA;3;26;53;NA;NA;NA;NA;0;NA
"9";1100049;"110004";482;35;37;5;360;1878;NA;0;2;2;0,0726141078838174;0,0767634854771784
"10";1100700;"110070";31;3;1;4;19;155;NA;NA;NA;NA;0,0967741935483871;0,032258064516129
"11";1100809;"110080";122;5;2;4;15;210;NA;NA;NA;NA;0,040983606557377;0,0163934426229508
"12";1100908;"110090";18;0;1;2;7;85;NA;NA;NA;NA;0;0,0555555555555556
"13";1100056;"110005";109;6;7;5;40;228;NA;NA;NA;NA;0,055045871559633;0,0642201834862385
"14";1100924;"110092";32;0;2;4;10;147;NA;NA;NA;NA;0;0,0625
"15";1100064;"110006";107;4;6;1;50;198;NA;NA;NA;NA;0,0373831775700935;0,0560747663551402
"16";1100072;"110007";30;0;NA;4;16;112;NA;NA;NA;NA;0;NA
"17";1100080;"110008";71;4;5;1;45;113;NA;NA;NA;NA;0,0563380281690141;0,0704225352112676
"18";1100940;"110094";44;1;1;4;11;108;NA;NA;NA;NA;0,0227272727272727;0,0227272727272727
"19";1100098;"110009";148;3;3;4;54;236;1;NA;NA;NA;0,0202702702702703;0,0202702702702703
"20";1101005;"110100";56;7;1;2;22;110;NA;NA;NA;NA;0,125;0,0178571428571429
"21";1100106;"110010";240;16;17;3;97;620;NA;NA;NA;NA;0,0666666666666667;0,0708333333333333
"22";1101104;"110110";29;2;4;3;20;122;NA;NA;NA;NA;0,0689655172413793;0,137931034482759
"23";1100114;"110011";272;25;12;6;115;549;NA;NA;NA;NA;0,0919117647058824;0,0441176470588235
"24";1100122;"110012";737;51;37;8;259;1324;NA;0;2;2;0,0691994572591588;0,0502035278154681
"25";1100130;"110013";116;8;4;3;48;319;NA;NA;NA;NA;0,0689655172413793;0,0344827586206897
"26";1101203;"110120";46;0;4;3;16;87;NA;NA;NA;NA;0;0,0869565217391304
"27";1101302;"110130";55;3;2;2;25;85;NA;NA;NA;NA;0,0545454545454545;0,0363636363636364
"28";1101401;"110140";66;2;2;4;40;138;NA;NA;NA;NA;0,0303030303030303;0,0303030303030303
"29";1100148;"110014";88;6;1;3;44;139;NA;NA;NA;NA;0,0681818181818182;0,0113636363636364
"30";1100338;"110033";99;2;6;3;20;247;NA;NA;NA;NA;0,0202020202020202;0,0606060606060606
"31";1101435;"110143";33;1;3;4;15;70;NA;NA;NA;NA;0,0303030303030303;0,0909090909090909
"32";1100502;"110050";44;4;1;4;18;90;NA;NA;NA;NA;0,0909090909090909;0,0227272727272727
"33";1100155;"110015";206;8;17;2;117;259;NA;NA;NA;NA;0,0388349514563107;0,0825242718446602
