ibge;06/03/2020;07/03/2020;09/03/2020;10/03/2020;11/03/2020;12/03/2020;13/03/2020;15/03/2020;16/03/2020;17/03/2020;18/03/2020;19/03/2020;20/03/2020;21/03/2020;22/03/2020;23/03/2020;24/03/2020;25/03/2020;26/03/2020;27/03/2020;28/03/2020;29/03/2020;30/03/2020;31/03/2020;01/04/2020;02/04/2020;03/04/2020;04/04/2020;05/04/2020;06/04/2020;07/04/2020;08/04/2020;09/04/2020;10/04/2020;11/04/2020;12/04/2020;13/04/2020;14/04/2020;15/04/2020;16/04/2020;17/04/2020;18/04/2020;19/04/2020;20/04/2020;21/04/2020;22/04/2020;23/04/2020;24/04/2020;25/04/2020;26/04/2020;27/04/2020;28/04/2020;29/04/2020;30/04/2020;01/05/2020;02/05/2020;03/05/2020;04/05/2020;05/05/2020;06/05/2020;07/05/2020;08/05/2020;09/05/2020;10/05/2020;11/05/2020;12/05/2020;13/05/2020;14/05/2020;15/05/2020;16/05/2020;17/05/2020;18/05/2020;19/05/2020;20/05/2020;21/05/2020;22/05/2020;23/05/2020;24/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;30/05/2020;31/05/2020;01/06/2020;02/06/2020;03/06/2020;04/06/2020;05/06/2020;06/06/2020;07/06/2020;08/06/2020;09/06/2020;10/06/2020;11/06/2020;12/06/2020;13/06/2020;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;21/06/2020;22/06/2020;23/06/2020;24/06/2020;25/06/2020;26/06/2020;27/06/2020;28/06/2020;29/06/2020
2900108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,225772497;0,225772497;0,225772497;0,225772497;0,225772497;0,225772497;0,225772497;0,225772497;0,424742501;0,464333124;0,464333124;0,539590623;0,539590623;0,76536312;0,840620619;0,903089987;0,903089987;0,903089987;1,229696244;1,229696244;1,304953743;1,304953743;1,304953743;1,53072624;1,53072624;1,794863128;1,97661281;1,945378126;2,333104993;2,338402318;2,338402318;2,418710663;2,43684833;2,710741246;2,817233429;3,215173437;3,570361376;3,670704707;3,670704707;3,670704707;3,978219125;4,129655842;4,18511803;4,285461362;4,371067032;4,582581217;4,648592824;4,749134279;5,111344319;5,111344319;5,280173268;5,749134788;5,835578869;7,51992528;6,929135419;6,720410934;6,844699393;6,971659122;6,98390779;7,065242497;7,893701206;9,392132886;9,680218417;9,871487987;9,869059781;10,01258922;10,16024702;10,54003344;10,9916082;11,39768704;12,15832981;13,02763676;13,37459479;14,21163366;15,83012075;15,94313684;16,72514953;16,8532102;17,05436123;17,87386589;18,796075;18,84116107;19,1536797;19,49929121;19,44448086;19,7919717;20,11936595;20,05924158;19,82540238;20,17727728;20,29321104;20,4611652;20,68934542;21,18549976;22,09180969;22,37492062;24,86524972;25,20440174;25,06530616
2900207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,150514998;0,238560627;0,238560627;0,238560627;0,238560627;0,238560627;0,238560627;0,238560627;0,238560627;0,238560627;0,238560627;0,238560627;0,238560627;0,301029996;0,401373328;0,401373328;0,501716659;0,501716659;0,576974158;0,665019788;0,665019788;0,665019788;0,665019788;0,665019788;0,966049784;0,966049784;0,966049784;1,329549148;1,329549148;1,429892479;1,429892479;1,731627614;1,731627614;1,907994591;1,930873336;1,989570422;2,208158507;2,208158507;2,227489156;2,341432508;2,341432508;2,341432508;2,341432508;2,341432508;2,446528979;2,446528979;2,446528979;2,521786478;2,54248282;2,54248282;2,829616484;2,84486898;2,959009874;3,705046368;3,730132201;3,75652595;3,874605501;3,882502635;3,951927949;4,106507492;4,180457076;4,785302963;5,082361437;5,313236831;5,281399211;5,296870846;5,509554081;5,92146117;7,448246159;7,943161977;8,199242499;8,787074212;8,909810961;9,328486093;10,49024977;10,53804709;10,93960084;11,23894848;11,26632211;11,90695466;12,25492965;12,4240692;12,66641489;12,97327385;13,02271633;13,19886798;13,56264695;13,56264695;13,60276904;14,07683306;14,44820243;14,54283793;14,6497321;15,12504942;15,45076343;15,81359536;16,39064319;16,5199137;17,13444799
2900306;0;0;0;0;0;0;0;0;0;0;0;0;0,075257499;0,075257499;0,075257499;0,075257499;0,225772497;0,225772497;0,326115829;0,326115829;0,326115829;0,401373328;0,576974158;0,796597804;0,776802492;0,776802492;0,776802492;0,828901142;0,961787073;1,030037391;0,996362748;1,061272076;1,10529489;1,115643062;1,115643062;1,115643062;1,165015413;1,173061583;1,173061583;1,18755957;1,230445478;1,251189037;1,37046935;1,406096325;1,457300177;1,777660822;1,914536163;2,017938109;2,03773342;2,068590457;2,088385768;2,203227087;2,203227087;2,411197687;2,406476351;2,616637489;2,716430701;2,78931163;2,979306628;3,100352406;3,183750578;3,270964776;3,281996961;3,608603218;3,683860717;4,101358477;4,101358477;4,237621533;5,002373123;4,908441818;4,90759147;5,201542327;5,390327159;5,684015044;5,956162252;6,098384787;7,755401177;8,351000175;8,459672689;8,817430105;9,138559168;9,253109822;9,596146029;10,49532748;10,97414308;11,33816025;12,483986;12,81559072;13,03116353;14,11085281;14,42150112;14,65727374;14,92252295;15,1099224;15,89895834;16,54356854;16,66116196;16,98430629;17,40851935;17,53289174;17,87113982;18,12711672;18,12711672;18,20150107;18,71774821;18,80660811;19,11359109;19,28758523;19,5464957;19,99694763;20,19123707;21,80131666;22,06395027;22,22538122
2900355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,100343332;0,100343332;0,175600831;0,175600831;0,175600831;0,175600831;0,175600831;0,175600831;0,175600831;0,175600831;0,175600831;0,275944163;0,275944163;0,376287495;0,376287495;0,434984581;0,434984581;0,476630826;0,476630826;0,535327913;0,557643509;0,557643509;0,576974158;0,576974158;0,635671245;0,635671245;0,67731749;0,67731749;0,801929168;0,801929168;0,801929168;0,801929168;0,94760323;0,94760323;1,070262158;1,085514655;1,099312217;1,29618906;1,371446559;1,382587811;1,39417518;1,39417518;1,404903407;1,456537394;1,529418324;1,774404438;2,057566105;2,1527952;2,14842835;2,539741815;2,942423058;3,648630239;4,734459941;5,430585773;6,014946771;7,079550257;7,068604048;7,485046117;8,296205186;7,768994584;8,075252053;8,093517897;8,043089106;8,55264016;8,93230356;9,170802988;9,293745042;9,371618183;9,369309218;9,540515408;10,03177883;10,03177883;10,08827982;10,38036244;10,70878874;10,73417735;10,90614574;11,90023391;12,29018378;12,47182861;14,74260073;14,96573233;15,51653192
2900405;0,150514998;0,238560627;0,238560627;0,238560627;0,301029996;0,301029996;0,349485002;0,389075625;0,389075625;0,389075625;0,389075625;0,389075625;0,497806519;0,497806519;0,598149851;0,598149851;0,727979584;0,803237083;0,976630826;0,976630826;0,976630826;1,051888325;1,334632498;1,711918767;1,67817582;1,70852474;1,70852474;1,86127426;2,288704789;2,238420084;2,24206225;2,860728126;2,950499166;3,133102709;3,212931898;3,217409319;3,334335286;3,354793249;3,437947881;3,634266683;3,610731845;3,790033812;3,934399959;4,201378767;4,252940897;4,638429053;4,681855204;4,995891228;5,134966854;5,169040945;5,320005529;5,62938466;5,783233162;5,89209608;5,880095384;6,550894462;6,941236274;7,066346559;7,498265723;7,860193124;8,127140446;8,589752186;8,847109916;9,552002186;9,786293299;10,90173808;10,95280582;11,42317867;13,2535394;12,9269281;13,01847653;13,60846881;14,19599456;14,60093033;15,38093717;15,55729767;17,90053576;19,24662793;19,48712778;19,90828486;20,44987177;21,00275655;21,81551735;23,6481252;24,92834476;25,56706197;27,45221241;28,42908427;29,15096266;31,58912137;32,17043941;33,61822846;34,13606552;34,61441625;36,14883004;37,28353542;37,68679753;38,41961165;39,25495207;39,53756067;40,35348567;40,86160369;40,86178763;40,90079908;42,51544407;42,91202522;43,28783597;43,88859078;44,42528182;45,181066;45,79126499;49,24019439;49,82148827;50,26268495
2900603;0;0;0;0;0;0;0;0;0;0;0;0,075257499;0,075257499;0,075257499;0,075257499;0,376287495;0,376287495;0,476630826;0,520653641;0,880380723;0,880380723;0,980724055;0,980724055;1,409703501;1,955836642;1,972887483;2,125329464;2,642088624;3,577558111;3,761577209;4,108800365;4,993623272;5,642647769;5,842191137;5,871715965;6,007424171;6,121967781;6,314670078;6,704086194;6,878495378;7,534461095;7,890250999;8,295117776;8,923759266;8,777738649;8,882314678;9,439153572;9,650082488;9,951377048;10,49470479;10,72546807;11,00853194;11,23764543;11,27300685;11,61314625;12,11695343;12,37181979;12,63911206;13,07283683;13,84227296;14,35268024;14,44854181;14,89313856;15,25044303;15,25044303;15,83747189;15,96587157;16,27612946;18,5205976;18,33081317;17,8952153;18,23185046;18,66719901;19,27541977;20,04555117;20,43258594;21,74876808;21,97647124;22,24877603;22,17703141;22,62385174;23,00137969;23,35670274;23,77400578;24,0295888;24,53441874;25,61384542;26,07674265;26,73189406;28,59943744;28,99968041;30,07359295;30,29274368;30,49392695;31,6921;32,63615133;32,72538497;33,05967295;33,68468402;33,94040697;34,43620496;35,02748576;34,8695303;35,11644268;36,21712774;36,99478077;37,47835019;37,82309092;38,45425461;38,84967973;39,26976661;41,6792946;42,56560299;42,85534806
2900702;0,100343332;0,159040418;0,159040418;0,159040418;0,200686664;0,200686664;0,383504999;0,434126251;0,434126251;0,453921563;0,573201876;0,698352464;0,852246077;0,877610487;1,065942403;1,078018573;1,235486954;1,254888168;1,325405266;1,384714265;1,388760955;1,609103639;1,870174114;2,398173686;2,194436008;2,224115762;2,233992897;2,434471761;2,712693527;3,078697208;3,061115516;3,398858214;3,603526176;3,814930506;3,832049359;3,837745024;4,03823649;4,075665318;4,10638974;4,436795567;4,465196833;4,670666871;4,812431575;4,892952587;4,949943106;5,347530829;5,577865195;5,85559314;6,050933223;6,139889975;6,342644875;6,615167689;6,919011068;7,048139468;7,058871599;7,538268233;7,78855755;7,91397703;8,528120947;8,784700187;8,999710083;9,254536333;9,454669615;10,04566216;10,18460551;11,1094851;11,14138071;11,66727342;13,62847028;13,4075135;13,47287218;14,04291175;14,43768728;14,73797243;15,40320747;15,56948792;17,40558013;18,42240013;18,77754727;19,16754497;19,58064219;20,18018444;20,81101167;22,31487529;23,49483941;24,08502965;25,78552765;26,80047028;27,39570129;29,14575317;29,53101974;30,44998536;30,85166937;31,344199;32,82750776;33,86781059;34,19344298;34,91326055;35,51881872;35,7360892;36,36372103;36,83919524;36,83961309;36,97746196;38,53575358;38,85510968;39,23644281;39,71088542;40,26502808;40,94034857;41,35554434;43,97720373;44,39811218;44,72424709
2900801;0;0;0;0;0;0;0;0;0,150514998;0,602059991;0,650514998;0,650514998;0,650514998;0,86619688;0,928666248;0,954242509;1,255272505;1,255272505;1,298847593;1,298847593;1,42378633;1,574301327;1,574301327;1,724816325;1,900907584;2,135205501;2,357054251;2,357054251;2,431003834;2,431003834;2,431003834;2,475026649;2,550284148;2,576677897;2,69248219;2,791967192;2,871148438;2,893464035;3,052504453;3,210781879;3,304661479;3,304661479;3,517648425;3,679112894;3,679112894;3,724870385;3,752977347;3,752977347;3,764717895;3,764717895;3,792906933;3,816433958;3,8371303;4,051416984;4,068132662;4,141336207;4,205831613;4,233059396;4,240679379;4,285578904;4,436093902;4,440840715;4,674923921;4,529757695;4,701703436;5,194355275;5,210059507;5,706331516;6,757630218;6,579916739;6,766409149;6,949629926;6,807518597;6,895443388;7,317697121;7,658728142;8,836048811;9,095873206;9,333886404;9,372978119;9,430243933;9,640434171;9,956890684;10,20597231;10,19889884;10,31272903;10,62073235;11,01977556;11,94646079;12,73535038;13,08524347;13,38506066;13,56558992;13,79828354;14,28676769;14,9495096;15,11519478;15,17306717;15,43699386;15,60316941;15,97914112;16,32202586;16,32133595;16,72764284;17,34275529;17,49582128;17,62928272;17,81598806;18,15978843;18,46495947;18,66478677;19,24744996;19,62506824;19,97028406
2900900;0;0;0;0;0;0;0;0;0;0;0;0,100343332;0,100343332;0,100343332;0,100343332;0,200686664;0,200686664;0,351201662;0,409898748;0,598287709;0,648459375;0,798974373;0,798974373;1,65897234;1,963912477;1,989488738;2,214852491;2,613498283;3,159157367;3,426905807;3,681495162;4,516974976;5,099153908;5,33599746;5,375363897;5,540177278;5,821173064;6,246905498;6,394566929;6,797617663;7,113641528;7,329818423;7,956336852;8,359412119;8,361885658;8,70123276;9,546457023;9,815360236;10,09197086;10,54169566;10,82640898;11,09779614;11,47238944;11,63422943;12,07766381;12,45903472;12,86962131;12,97827278;13,21318683;13,57132552;13,86847991;13,89774512;14,38716689;14,65363359;14,65363359;15,1565551;15,28921462;15,70238623;17,6462062;17,42974865;17,19406712;17,44685326;17,87932885;18,16706413;18,75468452;19,01944862;20,17049436;20,25886109;20,32151873;20,29938983;20,6421635;20,75733311;21,24222848;21,4307888;21,71006017;22,0211197;23,00553543;23,55644274;24,42702431;26,33091188;26,50147499;27,52705904;27,85749336;28,1271726;28,9406165;29,79750258;30,03461233;30,37614003;31,01402761;31,32114417;31,80841642;32,21828283;32,13225708;32,33680682;33,57911055;34,14031573;34,62459896;35,10600997;35,67004683;36,12298994;36,4570958;38,42281261;39,23930051;39,56493591
2901007;0,075257499;0,119280314;0,119280314;0,119280314;0,150514998;0,150514998;0,325257499;0,369280314;0,369280314;0,389075625;0,508355939;0,514226213;0,53096291;0,55632732;0,594144239;0,681477908;0,729507584;0,748908799;0,771589958;0,799664272;0,803710962;0,829515834;0,871713839;0,925908809;0,947395178;0,972016778;0,981893914;1,179524578;1,340270588;1,35182712;1,404160168;1,566371382;1,665026591;1,779653231;1,886005297;1,890954724;1,902769221;2,220075247;2,47983283;2,667759029;2,935330225;3,327615271;3,45209539;3,895613145;4,107008272;4,275395455;4,320064352;4,753766759;5,210550062;5,425759726;5,492183884;5,809905963;5,974781797;6,020063455;6,0527434;6,992636585;7,615731295;7,634098738;7,751233126;7,943562838;8,259110046;8,317477132;8,883816911;9,093079548;9,059629201;9,508977912;9,73201239;9,833331682;12,16892849;11,80715026;11,70673634;11,86294431;12,12648154;12,53743111;13,09513779;14,08846312;15,01802485;15,97588318;16,26752617;16,76881174;17,30666578;17,90904822;18,60678906;19,72251735;20,63901723;21,24043717;22,16182204;22,67279621;23,84715918;25,52740267;26,19872631;26,9137681;27,30578141;27,68205334;29,23626595;30,7072684;31,25988243;31,77705272;32,47374574;32,84721569;33,39937465;34,05464725;34,05491266;34,25191981;35,61618139;36,64936777;36,95589382;37,28453424;38,15325967;38,67851452;39,54685159;41,78806519;42,77919717;43,17531797
