"";"date";"state";"city";"place_type";"confirmed";"deaths";"is_last";"estimated_population_2019";"city_ibge_code";"confirmed_per_100k_inhabitants";"death_rate"
"1";2020-06-28;"BA";"Abaíra";"city";7;0;"True";8739;2900108;80,1007;0
"2";2020-06-28;"BA";"Abaré";"city";2;0;"True";20086;2900207;9,95718;0
"3";2020-06-28;"BA";"Acajutiba";"city";19;1;"True";15159;2900306;125,33808;0,0526
"4";2020-06-28;"BA";"Adustina";"city";22;1;"True";17040;2900355;129,10798;0,0455
"5";2020-06-28;"BA";"Água Fria";"city";31;1;"True";16970;2900405;182,67531;0,0323
"6";2020-06-28;"BA";"Aiquara";"city";10;1;"True";4446;2900603;224,92128;0,1
"7";2020-06-28;"BA";"Alagoinhas";"city";431;5;"True";151596;2900702;284,30829;0,0116
"8";2020-06-28;"BA";"Alcobaça";"city";49;1;"True";22470;2900801;218,06854;0,0204
"9";2020-06-28;"BA";"Almadina";"city";17;1;"True";5464;2900900;311,12738;0,0588
"10";2020-06-28;"BA";"Amargosa";"city";32;1;"True";37241;2901007;85,9268;0,0312
"11";2020-06-28;"BA";"Amélia Rodrigues";"city";80;0;"True";25102;2901106;318,69971;0
"12";2020-06-28;"BA";"América Dourada";"city";13;0;"True";16094;2901155;80,77544;0
"13";2020-06-28;"BA";"Anagé";"city";8;1;"True";22005;2901205;36,35537;0,125
"14";2020-06-28;"BA";"Andaraí";"city";7;0;"True";13143;2901304;53,26029;0
"15";2020-06-28;"BA";"Andorinha";"city";5;0;"True";14595;2901353;34,25831;0
"16";2020-06-28;"BA";"Angical";"city";1;0;"True";13977;2901403;7,15461;0
"17";2020-06-28;"BA";"Anguera";"city";27;0;"True";11221;2901502;240,62027;0
"18";2020-06-28;"BA";"Antas";"city";4;0;"True";19291;2901601;20,73506;0
"19";2020-06-28;"BA";"Antônio Cardoso";"city";9;0;"True";11683;2901700;77,03501;0
"20";2020-06-28;"BA";"Antônio Gonçalves";"city";8;0;"True";11798;2901809;67,8081;0
"21";2020-06-28;"BA";"Aporá";"city";37;1;"True";17731;2901908;208,67407;0,027
"22";2020-06-28;"BA";"Apuarema";"city";20;0;"True";7330;2901957;272,8513;0
"23";2020-06-28;"BA";"Araças";"city";5;0;"True";12177;2902054;41,06102;0
"24";2020-06-28;"BA";"Aracatu";"city";15;0;"True";13135;2902005;114,19871;0
"25";2020-06-28;"BA";"Araci";"city";179;1;"True";54379;2902104;329,17119;0,0056
"26";2020-06-28;"BA";"Aramari";"city";6;0;"True";11397;2902203;52,64543;0
"27";2020-06-28;"BA";"Arataca";"city";2;0;"True";11019;2902252;18,15047;0
"28";2020-06-28;"BA";"Aratuípe";"city";1;1;"True";8825;2902302;11,33144;1
"29";2020-06-28;"BA";"Aurelino Leal";"city";86;1;"True";11531;2902401;745,81563;0,0116
"30";2020-06-28;"BA";"Baianópolis";"city";3;0;"True";13877;2902500;21,61851;0
"31";2020-06-28;"BA";"Baixa Grande";"city";2;0;"True";20468;2902609;9,77135;0
"32";2020-06-28;"BA";"Banzaê";"city";18;0;"True";13229;2902658;136,06471;0
"33";2020-06-28;"BA";"Barra";"city";21;0;"True";53578;2902708;39,19519;0
"34";2020-06-28;"BA";"Barra da Estiva";"city";4;0;"True";20598;2902807;19,41936;0
"35";2020-06-28;"BA";"Barra do Choça";"city";30;1;"True";31603;2902906;94,9277;0,0333
"36";2020-06-28;"BA";"Barra do Mendes";"city";3;0;"True";13865;2903003;21,63722;0
"37";2020-06-28;"BA";"Barra do Rocha";"city";6;0;"True";5714;2903102;105,00525;0
"38";2020-06-28;"BA";"Barreiras";"city";325;5;"True";155439;2903201;209,08524;0,0154
